x0,y0,z0,x1,y1,z1,q0,q1,sigma_q1
0.0,0.0,-1.0,0.0,0.0,-1.5,-3.3e-15,-3.1093083595312304e-15,1.828785306455267e-17
0.0,0.0,-1.0,0.0,0.0,-1.4,-3.3e-15,-3.1260004585465737e-15,1.6239734402351017e-17
0.0,0.0,-1.0,0.0,0.0,-1.3,-3.3e-15,-3.0936011131838105e-15,1.8356875376396106e-17
0.0,0.0,-1.0,0.0,0.0,-1.2,-3.3e-15,-3.165447205988372e-15,1.7952229332079163e-17
0.0,0.0,-1.0,0.0,0.0,-1.1,-3.3e-15,-3.4162464023221546e-15,1.843579433803947e-17
0.0,0.0,-1.0,0.0,0.0,-1.05,-3.3e-15,-3.4969877985489575e-15,1.7460046936715234e-17
0.0,0.0,-1.0,0.0,0.0,-1.02,-3.3e-15,-3.173957165220884e-15,1.7633544931847874e-17
0.0,0.0,-1.0,0.0,0.0,-0.98,-3.3e-15,-2.498137841423154e-15,1.703074119773116e-17
0.0,0.0,-1.0,0.0,0.0,-0.96,-3.3e-15,-2.380375125226721e-15,1.849111520852234e-17
0.0,0.0,-1.0,0.0,0.0,-0.94,-3.3e-15,-2.24026770598206e-15,1.7518394535073928e-17
0.0,0.0,-1.0,0.0,0.0,-0.92,-3.3e-15,-2.2689508884417395e-15,1.745389746843832e-17
0.0,0.0,-1.0,0.0,0.0,-0.9,-3.3e-15,-2.305477385312433e-15,1.8398738748870123e-17
0.0,0.0,-1.0,0.0,0.0,-0.8,-3.3e-15,-2.4657864872498727e-15,1.8235374335759987e-17
0.0,0.0,-1.0,0.0,0.0,-0.6,-3.3e-15,-2.6963153259305116e-15,1.750112613468157e-17
0.0,0.0,-1.0,0.0,0.0,-0.4,-3.3e-15,-2.8475262235400246e-15,1.7916546278994425e-17
0.0,0.0,-1.0,0.0,0.0,-0.2,-3.3e-15,-2.938341384291693e-15,1.719256218178605e-17
0.0,0.0,-1.0,0.0,0.0,0.0,-3.3e-15,-2.939642922311015e-15,1.8695741117761188e-17
0.0,0.0,-1.0,0.0,0.0,0.5,-3.3e-15,-3.0176311288175096e-15,1.8307873591417538e-17
0.0,0.0,-1.0,0.0,0.0,1.0,-3.3e-15,-3.067302928948195e-15,1.6602132022299738e-17
0.0,0.0,-1.0,0.02,0.0,-1.5,-3.3e-15,-3.129669800635995e-15,1.6311015775910496e-17
0.0,0.0,-1.0,0.02,0.0,-1.4,-3.3e-15,-3.1337560631395408e-15,1.9981201511552487e-17
0.0,0.0,-1.0,0.02,0.0,-1.3,-3.3e-15,-3.148467954637401e-15,1.8141777515948094e-17
0.0,0.0,-1.0,0.02,0.0,-1.2,-3.3e-15,-3.1975384121015213e-15,1.8514188012974416e-17
0.0,0.0,-1.0,0.02,0.0,-1.1,-3.3e-15,-3.4189686532994074e-15,1.7246437865255905e-17
0.0,0.0,-1.0,0.02,0.0,-1.05,-3.3e-15,-3.3632586588287735e-15,1.922102197132112e-17
0.0,0.0,-1.0,0.02,0.0,-1.02,-3.3e-15,-3.117582859627804e-15,1.9178512304660418e-17
0.0,0.0,-1.0,0.02,0.0,-1.0,-3.3e-15,-2.898331277925626e-15,1.9022911822265624e-17
0.0,0.0,-1.0,0.02,0.0,-0.98,-3.3e-15,-2.6297505794147237e-15,1.791937230409402e-17
0.0,0.0,-1.0,0.02,0.0,-0.96,-3.3e-15,-2.339014585450389e-15,1.784232290732632e-17
0.0,0.0,-1.0,0.02,0.0,-0.94,-3.3e-15,-2.295848966413411e-15,1.7569235486852182e-17
0.0,0.0,-1.0,0.02,0.0,-0.92,-3.3e-15,-2.3195603996950206e-15,1.732208545404861e-17
0.0,0.0,-1.0,0.02,0.0,-0.9,-3.3e-15,-2.3720303761439267e-15,1.7801704603587006e-17
0.0,0.0,-1.0,0.02,0.0,-0.8,-3.3e-15,-2.4893810177642085e-15,1.6351481224753648e-17
0.0,0.0,-1.0,0.02,0.0,-0.6,-3.3e-15,-2.755735698200548e-15,1.77701346088295e-17
0.0,0.0,-1.0,0.02,0.0,-0.4,-3.3e-15,-2.8674863065952758e-15,1.8613496040020093e-17
0.0,0.0,-1.0,0.02,0.0,-0.2,-3.3e-15,-2.9325345455574374e-15,1.6670829173131548e-17
0.0,0.0,-1.0,0.02,0.0,0.0,-3.3e-15,-2.9614625114686757e-15,1.7391269904463654e-17
0.0,0.0,-1.0,0.02,0.0,0.5,-3.3e-15,-3.0241574847903136e-15,1.8743312435406666e-17
0.0,0.0,-1.0,0.02,0.0,1.0,-3.3e-15,-3.078763517081377e-15,1.93011492044501e-17
0.0,0.0,-1.0,0.05,0.0,-1.5,-3.3e-15,-3.1177695010885636e-15,1.5850844339373476e-17
0.0,0.0,-1.0,0.05,0.0,-1.4,-3.3e-15,-3.146828256103906e-15,2.024852566302043e-17
0.0,0.0,-1.0,0.05,0.0,-1.3,-3.3e-15,-3.127363709380416e-15,1.8452694430497022e-17
0.0,0.0,-1.0,0.05,0.0,-1.2,-3.3e-15,-3.1676845748216873e-15,1.8889587007772662e-17
0.0,0.0,-1.0,0.05,0.0,-1.1,-3.3e-15,-3.3532543776100794e-15,1.8266065077022843e-17
0.0,0.0,-1.0,0.05,0.0,-1.05,-3.3e-15,-3.3360082885289305e-15,1.6902621731808912e-17
0.0,0.0,-1.0,0.05,0.0,-1.02,-3.3e-15,-3.187422320355427e-15,1.8124176017183024e-17
0.0,0.0,-1.0,0.05,0.0,-1.0,-3.3e-15,-2.890271607015886e-15,2.0070652525609354e-17
0.0,0.0,-1.0,0.05,0.0,-0.98,-3.3e-15,-2.6586799395206464e-15,1.790189505204192e-17
0.0,0.0,-1.0,0.05,0.0,-0.96,-3.3e-15,-2.4961626675626307e-15,1.7554427826736798e-17
0.0,0.0,-1.0,0.05,0.0,-0.94,-3.3e-15,-2.4357275034221696e-15,1.7118057483781038e-17
0.0,0.0,-1.0,0.05,0.0,-0.92,-3.3e-15,-2.4422152375301354e-15,1.7715796489358616e-17
0.0,0.0,-1.0,0.05,0.0,-0.9,-3.3e-15,-2.4368474450736013e-15,1.6257396544883752e-17
0.0,0.0,-1.0,0.05,0.0,-0.8,-3.3e-15,-2.5562218887367335e-15,1.697936699674135e-17
0.0,0.0,-1.0,0.05,0.0,-0.6,-3.3e-15,-2.7472858030556043e-15,1.6426300754694292e-17
0.0,0.0,-1.0,0.05,0.0,-0.4,-3.3e-15,-2.861953987809383e-15,1.6968544905986166e-17
0.0,0.0,-1.0,0.05,0.0,-0.2,-3.3e-15,-2.97408655343701e-15,1.758378516051646e-17
0.0,0.0,-1.0,0.05,0.0,0.0,-3.3e-15,-2.988910170345316e-15,1.7650593354054385e-17
0.0,0.0,-1.0,0.05,0.0,0.5,-3.3e-15,-3.082716347167992e-15,1.83727227450801e-17
0.0,0.0,-1.0,0.05,0.0,1.0,-3.3e-15,-3.079059598652935e-15,1.679627139937829e-17
0.0,0.0,-1.0,0.1,0.0,-1.5,-3.3e-15,-3.1295715673545926e-15,1.791482242739569e-17
0.0,0.0,-1.0,0.1,0.0,-1.4,-3.3e-15,-3.1514452990499587e-15,1.7685273298273502e-17
